top,movie,author
210,哈利·波特与火焰杯,导演:迈克·内威尔MikeNewell   主演:丹尼尔·雷德克里夫DanielRadclif...
211,色，戒,导演:李安AngLee   主演:梁朝伟TonyLeungChiuWai/汤唯WeiTang/...
212,燃情岁月,导演:爱德华·兹威克EdwardZwick   主演:布拉德·皮特BradPitt/安东...
213,新龙门客栈,导演:李惠民RaymondLee   主演:张曼玉MaggieCheung/林青霞Brigitte...
214,穿越时空的少女,导演:细田守MamoruHosoda   主演:仲里依纱RiisaNaka/石田卓也Takuya...
215,九品芝麻官,导演:王晶JingWong   主演:周星驰StephenChow/吴孟达ManTatNg/...
216,源代码,导演:邓肯·琼斯DuncanJones   主演:杰克·吉伦哈尔JakeGyllenhaal/...
217,青蛇,导演:徐克HarkTsui   主演:张曼玉MaggieCheung/王祖贤JoeyWang/...
218,遗愿清单,导演:罗伯·莱纳RobReiner   主演:杰克·尼科尔森JackNicholson/摩根...
219,无耻混蛋,导演:QuentinTarantino   主演:布拉德·皮特BradPitt/梅拉尼·罗兰M...
220,阿飞正传,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC...
221,大佛普拉斯,导演:黄信尧Hsin-yaoHuang   主演:庄益增YizengZhuang/陈竹昇Chu-sh...
222,完美陌生人,导演:保罗·格诺维瑟PaoloGenovese   主演:马可·贾利尼MarcoGiallini...
223,血钻,导演:爱德华·兹威克EdwardZwick   主演:莱昂纳多·迪卡普里奥Leonardo...
224,谍影重重2,导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...
225,地球上的星星,导演:阿米尔·汗AamirKhan   主演:达席尔·萨法瑞DarsheelSafary/阿...
226,香水,导演:汤姆·提克威TomTykwer   主演:本·卫肖BenWhishaw/艾伦·瑞克...
227,疯狂的麦克斯4：狂暴之路,导演:乔治·米勒GeorgeMiller   主演:汤姆·哈迪TomHardy/查理兹·塞...
228,步履不停,导演:是枝裕和HirokazuKoreeda   主演:阿部宽HiroshiAbe/夏川结衣Yu...
229,战争之王,导演:安德鲁·尼科尔AndrewNiccol   主演:尼古拉斯·凯奇NicolasCage/...
230,彗星来的那一夜,导演:詹姆斯·沃德·布柯特JamesWardByrkit   主演:艾米丽·芭尔多尼Em...
231,谍影重重,导演:道格·里曼DougLiman   主演:马特·达蒙MattDamon/弗兰卡·波坦...
232,波西米亚狂想曲,导演:布莱恩·辛格BryanSinger   主演:拉米·马雷克RamiMalek/本·哈...
233,猜火车,导演:丹尼·博伊尔DannyBoyle   主演:伊万·麦克格雷格EwanMcGregor/...
234,朗读者,导演:史蒂芬·戴德利StephenDaldry   主演:凯特·温丝莱特KateWinslet...
235,浪潮,导演:丹尼斯·甘塞尔DennisGansel   主演:尤尔根·沃格尔JürgenVogel...
236,东京物语,导演:小津安二郎YasujirôOzu   主演:笠智众ChishûRyû/原节...
237,再次出发之纽约遇见你,导演:约翰·卡尼JohnCarney   主演:凯拉·奈特莉KeiraKnightley/马克...
238,驴得水,导演:周申ShenZhou/刘露LuLiu   主演:任素汐SuxiRen/大力DaLi...
239,聚焦,导演:托马斯·麦卡锡ThomasMcCarthy   主演:马克·鲁弗洛MarkRuffalo/...
240,小萝莉的猴神大叔,导演:卡比尔·汗KabirKhan   主演:萨尔曼·汗SalmanKhan/哈莎莉·马...
241,追随,导演:克里斯托弗·诺兰ChristopherNolan   主演:杰里米·西奥伯德Jeremy...
242,千钧一发,导演:安德鲁·尼科尔AndrewNiccol   主演:伊桑·霍克EthanHawke/乌玛...
243,我爱你,导演:秋昌民Chang-minChoo   主演:宋在河Jae-hoSong/李顺载Soon-jae...
244,黑客帝国2：重装上阵,导演:AndyWachowski/LarryWachowski   主演:基努·里维斯KeanuReeves...
245,一次别离,导演:阿斯哈·法哈蒂AsgharFarhadi   主演:佩曼·莫阿迪PeymanMoadi/...
246,黑鹰坠落,导演:雷德利·斯科特RidleyScott   主演:乔什·哈奈特JoshHartnett/...
247,发条橙,导演:StanleyKubrick   主演:MalcolmMcDowell/PatrickMagee/Michael...
248,网络谜踪,导演:阿尼什·查甘蒂AneeshChaganty   主演:约翰·赵JohnCho/米切尔...
249,四个春天,导演:陆庆屹LuQingYi   主演:陆运坤YunkunLu/李桂贤GuixianLi/...
250,E.T. 外星人,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:亨利·托马斯HenryTho...
